"Note: in order of color, mega cap> large cap> mid cap> small cap> micro cap ",,,,,,,,
,,,,,,,,
Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GSK,GlaxoSmithKline PLC,36.15," 88,904,258,397.75 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gsk
AZN,Astrazeneca PLC,34.48," 87,297,418,544.32 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/azn
CELG,Celgene Corporation,100.04," 78,763,185,777.24 ",n/a,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg
CVS,CVS Health Corporation,69.25," 70,397,107,414.00 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/cvs
WBA,"Walgreens Boots Alliance, Inc.",66.85," 67,488,365,223.30 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/wba
BIIB,Biogen Inc.,314.125," 66,430,192,521.00 ",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
AGN,Allergan plc.,174.92," 58,476,838,579.88 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
SYK,Stryker Corporation,156.18," 58,448,433,209.58 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/syk
AET,Aetna Inc.,176.99," 57,716,439,000.00 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
ANTM,"Anthem, Inc.",211.8," 54,381,878,347.80 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
BDX,"Becton, Dickinson and Company",224.41," 51,067,854,693.29 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bdx
CI,Cigna Corporation,201.9," 50,834,002,629.90 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ci
REGN,"Regeneron Pharmaceuticals, Inc.",408.34," 43,754,538,739.82 ",n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/regn
ISRG,"Intuitive Surgical, Inc.",384.25," 43,054,380,983.00 ",n/a,2000,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/isrg
BSX,Boston Scientific Corporation,27.86," 38,244,418,524.34 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bsx
VRTX,Vertex Pharmaceuticals Incorporated,149.93," 37,917,724,000.64 ",n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vrtx
HUM,Humana Inc.,256.69," 37,096,120,581.38 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hum
BAX,Baxter International Inc.,64.9," 35,362,122,318.60 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bax
ESRX,Express Scripts Holding Company,60.55," 34,293,885,150.00 ",n/a,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
ZTS,Zoetis Inc.,68.69," 33,597,080,680.99 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zts
FMS,Fresenius Medical Care Corporation,48.32," 29,655,053,998.08 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/fms
MCK,McKesson Corporation,137.61," 28,688,170,302.99 ",n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/mck
HCA,"HCA Healthcare, Inc.",76.43," 27,610,314,571.00 ",n/a,2011,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hca
ALXN,"Alexion Pharmaceuticals, Inc.",117.96," 26,353,401,606.24 ",n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
BCR,"C.R. Bard, Inc.",333.86," 24,335,847,315.92 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bcr
Q,"Quintiles IMS Holdings, Inc.",108.02," 22,826,083,513.86 ",n/a,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/q
INCY,Incyte Corporation,105.08," 22,175,800,429.72 ",n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incy
ZBH,"Zimmer Biomet Holdings, Inc.",109.25," 22,089,904,260.00 ",n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/zbh
EW,Edwards Lifesciences Corporation,102.72," 21,737,595,203.52 ",n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ew
CAH,"Cardinal Health, Inc.",61.38," 19,347,950,530.26 ",n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/cah
ALGN,"Align Technology, Inc.",241.35," 19,344,345,861.90 ",n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
MYL,Mylan N.V.,35.71," 19,150,585,153.98 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl
SNN,"Smith & Nephew SNATS, Inc.",37.4," 16,899,623,914.80 ",n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/snn
CNC,Centene Corporation,96.03," 16,571,563,971.93 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cnc
ABC,AmerisourceBergen Corporation (Holding Co),74.8," 16,389,545,062.00 ",n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
LH,Laboratory Corporation of America Holdings,153.74," 15,650,732,000.00 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh
XRAY,DENTSPLY SIRONA Inc.,64.8," 14,871,719,620.80 ",n/a,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray
BMRN,BioMarin Pharmaceutical Inc.,84.12," 14,773,261,821.24 ",n/a,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
ANTX,"Anthem, Inc.",53.73," 14,237,709,063.30 ",n/a,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
IDXX,"IDEXX Laboratories, Inc.",155.49," 13,561,637,684.37 ",n/a,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/idxx
DGX,Quest Diagnostics Incorporated,94.09," 12,824,414,497.78 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/dgx
HSIC,"Henry Schein, Inc.",77.65," 12,277,394,470.50 ",n/a,1995,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hsic
ALNY,"Alnylam Pharmaceuticals, Inc.",132.25," 12,131,738,050.25 ",n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
RMD,ResMed Inc.,83.12," 11,795,052,832.96 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/rmd
PRGO,Perrigo Company,82.36," 11,745,449,207.68 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prgo
TEVA,Teva Pharmaceutical Industries Limited,11.4," 11,582,400,000.00 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/teva
TFX,Teleflex Incorporated,256.41," 11,548,044,349.38 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/tfx
DVA,DaVita Inc.,59.91," 11,454,792,000.00 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva
COO,"Cooper Companies, Inc. (The)",229.27," 11,222,592,254.80 ",n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/coo
HOLX,"Hologic, Inc.",39.56," 11,095,530,433.64 ",n/a,1990,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/holx
SHPG,Shire plc,146.16," 10,653,324,842.16 ",72888101,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/shpg
VAR,"Varian Medical Systems, Inc.",106.09," 9,739,156,844.46 ",n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/var
UHS,"Universal Health Services, Inc.",101.61," 9,719,736,932.07 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/uhs
WCG,"WellCare Health Plans, Inc.",206.5," 9,193,701,314.00 ",n/a,2004,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/wcg
SGEN,"Seattle Genetics, Inc.",61.36," 8,776,149,605.60 ",n/a,2001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/sgen
ABMD,"ABIOMED, Inc.",194.9," 8,614,732,801.60 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
JAZZ,Jazz Pharmaceuticals plc,137.78," 8,275,750,602.14 ",n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz
ALKS,Alkermes plc,51," 7,842,572,430.00 ",n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
EXEL,"Exelixis, Inc.",26.24," 7,712,059,432.96 ",n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
QGEN,Qiagen N.V.,33.7," 7,691,485,800.00 ",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/qgen
STE,STERIS plc,88.63," 7,553,981,253.49 ",n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ste
BLUE,"bluebird bio, Inc.",156.2," 7,121,061,937.00 ",n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue
JUNO,"Juno Therapeutics, Inc.",58.465," 7,092,826,409.74 ",n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno
EXAS,Exact Sciences Corporation,56.69," 6,787,516,432.69 ",n/a,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
IONS,"Ionis Pharmaceuticals, Inc.",54.16," 6,735,050,118.72 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ions
ICLR,ICON plc,123.1," 6,666,135,820.00 ",n/a,1998,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/iclr
NBIX,"Neurocrine Biosciences, Inc.",73.49," 6,483,410,822.26 ",n/a,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nbix
RDY,Dr. Reddy&#39;s Laboratories Ltd,36.75," 6,093,222,544.50 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdy
INCR,"INC Research Holdings, Inc.",58.375," 6,080,986,678.25 ",n/a,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incr
TSRO,"TESARO, Inc.",110.99," 6,013,546,304.26 ",n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tsro
HLF,Herbalife LTD.,68.41," 5,964,908,019.10 ",n/a,2004,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/hlf
BIVV,Bioverativ Inc.,54.02," 5,844,956,437.20 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bivv
CTLT,"Catalent, Inc.",42.7," 5,670,987,854.00 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctlt
CRL,"Charles River Laboratories International, Inc.",117.75," 5,604,169,950.00 ",n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/crl
PRAH,"PRA Health Sciences, Inc.",83.43," 5,286,936,490.47 ",n/a,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/prah
UTHR,United Therapeutics Corporation,120.98," 5,227,673,191.94 ",n/a,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/uthr
HRC,Hill-Rom Holdings Inc,77.5," 5,105,756,420.00 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/hrc
PBYI,Puma Biotechnology Inc,130.3," 4,847,889,289.10 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pbyi
TECH,Bio-Techne Corp,129.3," 4,834,941,147.90 ",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/tech
HLS,HealthSouth Corporation,47.94," 4,713,019,943.76 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hls
TARO,Taro Pharmaceutical Industries Ltd.,114.5," 4,638,792,200.50 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/taro
MOH,Molina Healthcare Inc,79.18," 4,522,603,240.00 ",n/a,2003,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/moh
MASI,Masimo Corporation,86," 4,443,718,384.00 ",n/a,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/masi
ACAD,ACADIA Pharmaceuticals Inc.,35.86," 4,389,274,973.16 ",n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
DXCM,"DexCom, Inc.",49.12," 4,251,873,667.52 ",n/a,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxcm
AKRX,"Akorn, Inc.",33.17," 4,143,484,119.55 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
CMD,Cantel Medical Corp.,97.96," 4,087,622,079.56 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cmd
MD,"Mednax, Inc",43.37," 4,058,094,165.61 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/md
PODD,Insulet Corporation,69.45," 4,032,239,081.10 ",n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/podd
VRX,"Valeant Pharmaceuticals International, Inc.",11.49," 3,990,824,262.27 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vrx
FGEN,"FibroGen, Inc",55.7," 3,965,574,088.20 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen
LIVN,LivaNova PLC,81.76," 3,939,345,194.40 ",n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/livn
HCSG,"Healthcare Services Group, Inc.",53.2," 3,898,123,600.00 ",n/a,1983,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hcsg
ICUI,"ICU Medical, Inc.",190.9," 3,813,724,221.80 ",n/a,1992,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/icui
CHE,Chemed Corp.,235.01," 3,752,170,365.03 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/che
NKTR,Nektar Therapeutics,23.75," 3,712,778,837.50 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nktr
OPK,"Opko Health, Inc.",6.57," 3,675,290,462.37 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/opk
CLVS,"Clovis Oncology, Inc.",73.55," 3,595,076,486.70 ",n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
PDCO,"Patterson Companies, Inc.",36.15," 3,459,663,450.00 ",n/a,1992,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/pdco
SRPT,"Sarepta Therapeutics, Inc.",53.44," 3,437,918,592.96 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/srpt
PEN,"Penumbra, Inc.",101.3," 3,421,105,423.40 ",n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/pen
AAAP,Advanced Accelerator Applications S.A.,81," 3,418,580,619.00 ",42204699,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
GRFS,"Grifols, S.A.",23.87," 3,413,899,955.62 ",143020526,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/grfs
AVXS,"AveXis, Inc.",104.54," 3,337,486,124.84 ",n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs
EVHC,Envision Healthcare Corporation,27.04," 3,268,838,560.00 ",n/a,2016,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/evhc
AGIO,"Agios Pharmaceuticals, Inc.",66.42," 3,214,143,105.48 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
NUS,"Nu Skin Enterprises, Inc.",60.34," 3,194,531,020.52 ",n/a,1996,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/nus
NEOG,Neogen Corporation,81.77," 3,126,333,670.20 ",n/a,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/neog
LGND,Ligand Pharmaceuticals Incorporated,146.42," 3,082,652,591.48 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lgnd
MSA,MSA Safety Incorporporated,79.72," 3,031,909,206.44 ",n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/msa
GMED,"Globus Medical, Inc.",31.36," 3,019,713,356.80 ",n/a,2012,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/gmed
MNK,Mallinckrodt plc,30.88," 3,000,880,355.84 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnk
ONCE,"Spark Therapeutics, Inc.",82.11," 3,000,807,578.79 ",n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/once
PTLA,"Portola Pharmaceuticals, Inc.",51.57," 2,981,851,557.66 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptla
NUVA,"NuVasive, Inc.",57.01," 2,905,683,855.68 ",n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nuva
BPMC,Blueprint Medicines Corporation,73.97," 2,899,860,704.00 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmc
GWPH,GW Pharmaceuticals Plc,113.19," 2,657,780,772.57 ",23480703,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gwph
ACHC,"Acadia Healthcare Company, Inc.",29.95," 2,631,215,290.05 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
LOXO,"Loxo Oncology, Inc.",87.8," 2,621,066,621.00 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/loxo
SAGE,"Sage Therapeutics, Inc.",69.145," 2,588,863,753.18 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sage
WMGI,Wright Medical Group N.V.,24.56," 2,573,965,486.80 ",n/a,2011,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/wmgi
NVRO,Nevro Corp.,84.47," 2,487,055,700.55 ",n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nvro
HAE,Haemonetics Corporation,47.12," 2,478,810,693.68 ",n/a,1991,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/hae
PRTA,Prothena Corporation plc,62.39," 2,387,982,303.59 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prta
FOLD,"Amicus Therapeutics, Inc.",14.45," 2,377,979,697.05 ",n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
HALO,"Halozyme Therapeutics, Inc.",16.75," 2,377,081,442.50 ",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/halo
IRWD,"Ironwood Pharmaceuticals, Inc.",15.87," 2,374,023,833.88 ",n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/irwd
AERI,"Aerie Pharmaceuticals, Inc.",64.85," 2,356,689,336.70 ",n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
BGNE,"BeiGene, Ltd.",90.23," 2,339,841,472.64 ",25931968,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bgne
HZNP,Horizon Pharma plc,14.17," 2,314,729,977.56 ",n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/hznp
INSM,"Insmed, Inc.",30.03," 2,297,327,011.98 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/insm
SEM,Select Medical Holdings Corporation,17.15," 2,279,865,605.50 ",n/a,2009,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/sem
PBH,"Prestige Brand Holdings, Inc.",42.99," 2,278,477,308.30 ",n/a,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pbh
HYH,"Halyard Health, Inc.",47.33," 2,214,653,432.84 ",n/a,2014,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/hyh
ARRY,Array BioPharma Inc.,11.12," 2,190,944,599.04 ",n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
MDCO,The Medicines Company,29.75," 2,161,022,417.75 ",n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdco
EYE,"National Vision Holdings, Inc.",29.77," 2,151,889,678.64 ",n/a,2017,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/eye
CBPO,"China Biologic Products Holdings, Inc.",77.54," 2,140,828,301.14 ",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo
SUPN,"Supernus Pharmaceuticals, Inc.",42.075," 2,133,165,053.25 ",n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/supn
RARE,Ultragenyx Pharmaceutical Inc.,49.48," 2,100,844,501.84 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rare
INGN,"Inogen, Inc",101.17," 2,096,890,393.85 ",n/a,2014,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ingn
MGLN,"Magellan Health, Inc.",85.45," 2,023,674,410.20 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/mgln
XON,Intrexon Corporation,16.43," 1,980,134,547.07 ",n/a,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/xon
MYGN,"Myriad Genetics, Inc.",28.44," 1,968,242,757.12 ",n/a,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/mygn
CORT,Corcept Therapeutics Incorporated,17.31," 1,962,915,935.31 ",n/a,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
NVCR,NovoCure Limited,21.8," 1,948,131,603.00 ",n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nvcr
BKD,Brookdale Senior Living Inc.,10.45," 1,946,612,007.45 ",n/a,2005,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/bkd
MMSI,"Merit Medical Systems, Inc.",37.95," 1,902,411,413.10 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmsi
TVTY,"Tivity Health, Inc.",48.075," 1,901,427,689.85 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/tvty
FMI,"Foundation Medicine, Inc.",52.2," 1,880,334,253.80 ",n/a,2013,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/fmi
AMED,Amedisys Inc,54.84," 1,856,997,344.64 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
SPPI,"Spectrum Pharmaceuticals, Inc.",19.66," 1,843,266,394.72 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi
TDOC,"Teladoc, Inc.",32.5," 1,841,262,832.50 ",n/a,2015,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/tdoc
LPNT,"LifePoint Health, Inc.",46.3," 1,824,951,215.90 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/lpnt
GBT,"Global Blood Therapeutics, Inc.",41.55," 1,814,771,206.20 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gbt
EBS,"Emergent Biosolutions, Inc.",43.03," 1,773,333,728.01 ",n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebs
